Designator,Footprint,Quantity,Value,LCSC Part #
"3V3OUT1, 5VOUT1, TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP4, TP5, TP6, TP8, TP9",TestPoint_Pad_D2.0mm,34,TestPoint,
C1,CAPC2012X135N,1,10uF,C15850
"C11, C12, C16, C19",CAPC2012X135N,4,10u, C15850
"C13, C14, C27, C28",CAPC2012X140N,4,22u, C15850
C15,CAPC2012X135N,1,10u,C15850
C2,CAPC1608X90N,1,10uF,C15850
"C3, C4",CAPC1608X90N,2,0.01uF,C57112
"C5, C6",CAPC3216X180N,2,2.2uF, C50254
"C7, C8",CAPC3216X180N,2,1u,C1848
"D1, D2",0603,2,LED, C2286
"D8, D9",D_SOD-323,2,D_Schottky_Small,C489146
J1,JST_S2B-PH-K-S_LF__SN_,1,S2B-PH-K-S_LF__SN_,C157932
J2,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
J3,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,C5187470
"L4, L5, L6",1210,3,4.7u, C1049
Q1,SOT95P280X125-3N,1,AO3400A,C20917
Q2,SOT23-3,1,AO3401A,C15127
R1,RESC6432X80N,1,CRF2512-FZ-R005ELF,C2089602
"R10, R11",RESC1608X55N,2,3.3k, C22978
"R12, R20, R21, R24, R25, R26, R27",RESC1608X55N,7,10k,C25804
"R13, R4",RESC3115X65N,2,1Ω, C17928
R14,RESC2012X65N,1,5.1k,C23186
R15,RESC1608X55N,1,330k,C23137
"R16, R23",RESC3115X65N,2,100k,C17900
R17,RESC2012X65N,1,200k,C17539
R2,RESC2012X65N,1,25,C25804
R22,RESC1608X55N,1,680k,C23192
R5,RESC3115X65N,1,8.2,C25804
R6,RESC1608X55N,1,1kΩ,C4410
SW2,SSSS810701,1,C97433,C97433
"U1, U2",IC_DRV8833PWPR,2,DRV8833PWPR, C50506
U3,QFN65P400X400X90-17N,1,TP5100,C379389
U4,SOIC127P599X175-8N,1,INA219AxD,C2155799
"U5, U6",SOT-23-6,2,MT3608,C84817
U7,SOIC127P599X175-8N,1,TPS2042D,C130050
U8,TSSOP-16_4.4x5mm_P0.65mm,1,IP2721,C603176
